Ea,detaH,M4-O1,ang1,ang2,diangle
0.12,-0.8,3.97,81.45,58.87,18.35
0.13,-0.6,2.6,91.63,69.43,10.1
0.15,-0.62,3.45,80.46,61.59,18.71
0.15,-0.74,3.86,78.17,46.23,37.61
0.17,-1.16,3.48,77.31,55.04,20.43
0.24,-0.61,2.56,89.81,66.83,32.33
0.26,-0.6,3.14,90,60,35.26
0.3,-0.47,3.51,133.82,62.2,42.81
0.35,-0.45,3.79,114.84,58.35,41.35
0.41,-0.5,3.7,97.56,57.38,26.68
0.41,-0.52,3.35,78.81,62.38,-9.71
0.45,-0.44,3.41,78.36,52.26,22.56
0.46,-0.33,3.55,77.32,54.58,19.67
